企業名,売上(百万円),業種,従業員数,過去取引回数,取引単価(万円),直近取引金額(万円),設立年,顧客満足度,地域
A商事,500,製造,120,5,50,250,1995,3.2,関東
Bテック,1200,IT,300,10,120,600,2010,4.5,関東
Cリテール,300,小売,50,2,30,90,1988,2.8,関西
Dフーズ,800,飲食,200,7,60,420,2005,4.1,関東
E建設,1500,建設,400,15,150,1200,1980,3.5,中部
Fマーケ,200,サービス,30,1,25,25,2015,3.8,関西
G物流,900,物流,250,6,80,480,1992,3.1,九州
H金融,2000,金融,500,20,200,1800,1975,4.2,関東
I教育,400,教育,80,3,40,160,2000,4.6,関西
Jヘルス,1000,医療,220,9,100,900,1998,4.3,中部
K商会,600,製造,130,6,55,330,1985,2.9,中国
Lソリューション,1300,IT,320,11,125,700,2008,4.4,関東
Mスーパー,350,小売,55,3,35,105,1990,3.0,九州
Nレストラン,850,飲食,210,8,65,520,2003,3.9,関西
Oハウジング,1600,建設,420,16,160,1400,1978,3.4,関東
Pコンサル,250,サービス,35,2,28,56,2012,4.7,関東
Q運輸,950,物流,260,7,85,595,1987,2.7,中部
R証券,2100,金融,520,22,210,2100,1970,4.0,関東
Sスクール,450,教育,85,4,45,180,2001,4.8,中国
Tホスピタル,1100,医療,230,10,110,1050,1995,4.1,九州
